Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],15, 17, 11, 11, 11, 7, 13, 2
RRT,0,[],13, 2, 7, 17, 15, 11, 16, 5
GDA,0,[],11, 17, 7, 13, 2, 2, 16, 5
SA,1,[],16, 16, 2, 13, 7, 11, 17, 15
RRT,1,[],16, 5, 7, 2, 13, 11, 17, 15
GDA,1,[],8, 9, 14, 15, 17, 11, 13, 7
SA,2,[],3, 12, 10, 5, 16, 2, 13, 13
RRT,2,[],11, 17, 15, 14, 9, 8, 4, 6
GDA,2,[],11, 7, 7, 13, 2, 16, 5, 10
SA,3,[],15, 17, 11, 7, 13, 13, 2, 16
RRT,3,[],17, 17, 15, 11, 13, 2, 16, 5
GDA,3,[],7, 15, 17, 11, 13, 2, 16, 5
SA,4,[],15, 17, 11, 7, 13, 2, 2, 16
RRT,4,[],11, 15, 17, 13, 2, 7, 16, 5
GDA,4,[],15, 17, 11, 13, 2, 16, 5, 12
