Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],4, 2, 5, 8, 9, 9, 6, 3
RRT,0,[],4, 2, 5, 8, 9, 6, 6, 3
GDA,0,[],8, 3, 4, 2, 9, 7, 6, 5
SA,1,[],4, 4, 2, 5, 8, 9, 6, 3
RRT,1,[],4, 2, 5, 5, 8, 9, 6, 3
GDA,1,[],8, 3, 4, 2, 9, 7, 6, 5
SA,2,[],4, 2, 5, 8, 8, 9, 6, 3
RRT,2,[],4, 2, 5, 5, 8, 7, 3, 3
GDA,2,[],4, 2, 5, 8, 9, 6, 6, 3
SA,3,[],4, 2, 5, 8, 9, 6, 3, 7
RRT,3,[],4, 2, 5, 8, 7, 3, 6, 9
GDA,3,[],8, 3, 4, 2, 9, 7, 6, 5
SA,4,[],4, 2, 5, 5, 5, 8, 8, 0
RRT,4,[],4, 2, 5, 8, 9, 6, 3, 3
GDA,4,[],8, 3, 4, 2, 9, 7, 6, 5
