Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],5, 5, 6, 7, 4, 0, 1, 3
RRT,0,[],5, 5, 6, 7, 7, 4, 0, 1
GDA,0,[],5, 6, 6, 7, 4, 4, 0, 1
SA,1,[],5, 5, 6, 6, 1, 0, 4, 7
RRT,1,[],5, 6, 7, 7, 4, 0, 1, 3
GDA,1,[],5, 6, 7, 7, 4, 0, 1, 3
SA,2,[],5, 6, 7, 7, 4, 0, 1, 3
RRT,2,[],5, 5, 6, 7, 4, 0, 1, 1
GDA,2,[],5, 5, 6, 7, 4, 0, 1, 1
SA,3,[],5, 6, 7, 7, 4, 0, 0, 1
RRT,3,[],5, 6, 7, 7, 4, 4, 0, 1
GDA,3,[],5, 6, 6, 7, 4, 0, 1, 1
SA,4,[],5, 5, 6, 7, 4, 0, 1, 3
RRT,4,[],5, 6, 6, 7, 4, 4, 0, 0
GDA,4,[],5, 6, 7, 4, 4, 0, 1, 3
