Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],18, 18, 8, 38, 36, 36, 22, 21
RRT,0,[],31, 34, 34, 29, 22, 29, 32, 20
GDA,0,[],36, 21, 22, 25, 32, 29, 11, 15
SA,1,[],19, 27, 0, 39, 37, 37, 9, 9
RRT,1,[],27, 10, 9, 37, 26, 31, 24, 24
GDA,1,[],10, 9, 30, 37, 20, 20, 20, 34
SA,2,[],19, 19, 19, 19, 27, 37, 30, 30
RRT,2,[],24, 10, 28, 37, 20, 34, 29, 22
GDA,2,[],24, 26, 17, 31, 32, 10, 30, 28
SA,3,[],30, 9, 10, 24, 24, 17, 26, 31
RRT,3,[],20, 26, 17, 24, 10, 28, 19, 33
GDA,3,[],28, 20, 32, 32, 11, 16, 13, 21
SA,4,[],8, 38, 36, 22, 25, 29, 11, 28
RRT,4,[],19, 23, 29, 21, 13, 11, 12, 33
GDA,4,[],15, 11, 23, 12, 19, 27, 9, 10
