Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],3, 2, 4, 5, 5, 1, 0],10.79669127533634
RRT,0,[],3, 2, 4, 5, 1, 0],10.79669127533634,14
GDA,0,[],3, 2, 4, 5, 1, 0],10.79669127533634,14
SA,1,[],3, 3, 2, 4, 4, 4, 5, 1
RRT,1,[],3, 2, 4, 4, 5, 1, 0],10.79669127533634
GDA,1,[],3, 2, 4, 4, 5, 1, 0],10.79669127533634
SA,2,[],3, 2, 4, 5, 5, 1, 1, 0]
RRT,2,[],3, 2, 4, 5, 1, 0],10.79669127533634,14
GDA,2,[],3, 2, 4, 5, 1, 0],10.79669127533634,14
SA,3,[],3, 2, 4, 4, 5, 1, 0],10.79669127533634
RRT,3,[],3, 2, 4, 5, 1, 1, 0],10.79669127533634
GDA,3,[],3, 2, 4, 5, 1, 1, 0],10.79669127533634
SA,4,[],3, 3, 2, 4, 4, 4, 4, 5
RRT,4,[],3, 2, 4, 4, 5, 1, 0],10.79669127533634
GDA,4,[],3, 2, 4, 5, 1, 0],10.79669127533634,14
