Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],17, 23, 10, 20, 16, 12, 8, 19
RRT,0,[],9, 13, 9, 9, 9, 21, 12, 12
GDA,0,[],13, 21, 19, 8, 15, 11, 22, 16
SA,1,[],10, 20, 16, 16, 19, 19, 21, 9
RRT,1,[],21, 13, 9, 19, 20, 16, 18, 12
GDA,1,[],12, 15, 11, 22, 6, 13, 21, 19
SA,2,[],17, 17, 23, 23, 10, 20, 16, 8
RRT,2,[],20, 16, 12, 11, 15, 22, 8, 8
GDA,2,[],16, 20, 18, 8, 12, 15, 11, 11
SA,3,[],18, 17, 23, 10, 20, 16, 8, 15
RRT,3,[],17, 0, 0, 0, 22, 11, 15, 8
GDA,3,[],15, 11, 22, 8, 8, 19, 16, 10
SA,4,[],13, 13, 9, 21, 19, 16, 8, 22
RRT,4,[],9, 13, 21, 8, 16, 20, 12, 3
GDA,4,[],19, 21, 19, 16, 14, 10, 10, 20
