Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],2, 4, 6, 6, 6, 9, 0, 3
RRT,0,[],9, 6, 4, 2, 2, 2, 2, 5
GDA,0,[],7, 2, 2, 2, 4, 4, 6, 9
SA,1,[],9, 6, 6, 4, 2, 7, 5, 5
RRT,1,[],7, 2, 2, 4, 6, 5, 8, 8
GDA,1,[],7, 2, 2, 2, 2, 4, 6, 5
SA,2,[],2, 4, 6, 9, 0, 0, 0, 3
RRT,2,[],7, 2, 4, 6, 5, 1, 8, 8
GDA,2,[],9, 6, 6, 4, 4, 2, 7, 5
SA,3,[],7, 2, 4, 4, 6, 6, 0, 3
RRT,3,[],2, 4, 6, 9, 0, 3, 3, 3
GDA,3,[],8, 5, 7, 2, 4, 6, 9, 0
SA,4,[],7, 2, 2, 4, 6, 6, 6, 5
RRT,4,[],6, 4, 2, 7, 5, 5, 8, 8
GDA,4,[],7, 2, 4, 6, 9, 9, 0, 3
