Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],19, 24, 24, 29, 29, 30, 25, 25
RRT,0,[],25, 30, 29, 19, 9, 27, 11, 8
GDA,0,[],14, 23, 18, 30, 16, 27, 12, 34
SA,1,[],25, 30, 29, 24, 19, 17, 13, 27
RRT,1,[],25, 27, 27, 17, 30, 13, 31, 34
GDA,1,[],14, 23, 18, 30, 16, 27, 12, 34
SA,2,[],23, 6, 35, 12, 34, 21, 20, 10
RRT,2,[],34, 20, 11, 9, 10, 9, 31, 14
GDA,2,[],14, 23, 18, 30, 16, 27, 12, 34
SA,3,[],13, 27, 9, 11, 11, 11, 11, 8
RRT,3,[],5, 23, 16, 29, 24, 19, 25, 30
GDA,3,[],14, 23, 18, 30, 16, 27, 12, 34
SA,4,[],30, 25, 29, 24, 19, 16, 22, 33
RRT,4,[],25, 24, 29, 30, 19, 26, 33, 22
GDA,4,[],14, 23, 18, 30, 16, 27, 12, 34
