Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],5, 5, 8, 7, 4, 10, 0, 9
RRT,0,[],5, 8, 1, 7, 4, 10, 0, 9
GDA,0,[],6, 6, 11, 9, 9, 0, 0, 10
SA,1,[],8, 8, 5, 5, 5, 6, 6, 6
RRT,1,[],7, 7, 7, 7, 4, 10, 0, 9
GDA,1,[],5, 5, 8, 7, 4, 10, 0, 0
SA,2,[],9, 9, 9, 9, 9, 9, 0, 10
RRT,2,[],7, 4, 4, 10, 0, 0, 0, 9
GDA,2,[],4, 7, 7, 10, 10, 10, 0, 9
SA,3,[],11, 7, 7, 7, 4, 10, 0, 9
RRT,3,[],5, 8, 4, 4, 7, 10, 0, 9
GDA,3,[],5, 6, 6, 9, 7, 10, 10, 4
SA,4,[],8, 8, 5, 5, 6, 6, 11, 11
RRT,4,[],5, 6, 6, 11, 9, 0, 0, 10
GDA,4,[],11, 6, 9, 9, 0, 0, 0, 0
