Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],21, 9, 14, 16, 16, 28, 37, 22
RRT,0,[],25, 12, 30, 35, 23, 24, 11, 8
GDA,0,[],22, 22, 18, 12, 13, 30, 23, 29
SA,1,[],15, 31, 10, 24, 24, 11, 8, 39
RRT,1,[],16, 14, 28, 9, 21, 19, 38, 26
GDA,1,[],22, 18, 37, 28, 25, 14, 9, 21
SA,2,[],23, 29, 39, 8, 27, 27, 24, 15
RRT,2,[],16, 14, 16, 38, 28, 9, 25, 18
GDA,2,[],29, 12, 26, 21, 16, 9, 38, 19
SA,3,[],13, 12, 18, 25, 25, 21, 9, 14
RRT,3,[],9, 38, 20, 32, 36, 17, 27, 29
GDA,3,[],38, 37, 28, 9, 32, 32, 20, 10
SA,4,[],8, 8, 39, 25, 22, 18, 18, 12
RRT,4,[],32, 20, 34, 36, 29, 17, 17, 11
GDA,4,[],33, 38, 9, 21, 37, 26, 25, 2
