Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],6, 6, 6, 7, 4, 3, 5, 0
RRT,0,[],6, 7, 4, 4, 3, 3, 5, 0
GDA,0,[],6, 7, 4, 4, 4, 3, 5, 0
SA,1,[],6, 7, 7, 7, 4, 3, 5, 0
RRT,1,[],6, 7, 7, 7, 4, 3, 5, 0
GDA,1,[],6, 7, 4, 4, 4, 3, 5, 0
SA,2,[],6, 7, 7, 4, 3, 5, 5, 0
RRT,2,[],6, 7, 7, 7, 4, 3, 5, 0
GDA,2,[],6, 7, 4, 4, 3, 5, 0, 0
SA,3,[],6, 7, 7, 7, 4, 3, 5, 0
RRT,3,[],6, 7, 4, 3, 3, 3, 5, 0
GDA,3,[],6, 6, 7, 4, 3, 3, 5, 0
SA,4,[],6, 7, 4, 4, 3, 5, 0, 0
RRT,4,[],6, 6, 6, 6, 6, 7, 4, 3
GDA,4,[],6, 6, 6, 7, 4, 3, 5, 0
