Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],12, 11, 19, 18, 14, 10, 10, 10
RRT,0,[],16, 12, 12, 11, 18, 19, 14, 10
GDA,0,[],11, 12, 16, 0, 15, 14, 19, 18
SA,1,[],16, 12, 11, 19, 18, 14, 14, 10
RRT,1,[],15, 6, 16, 12, 11, 19, 18, 10
GDA,1,[],11, 12, 16, 15, 6, 10, 5, 7
SA,2,[],16, 12, 12, 11, 10, 5, 7, 17
RRT,2,[],19, 11, 12, 16, 15, 7, 10, 14
GDA,2,[],16, 15, 6, 18, 10, 10, 5, 7
SA,3,[],11, 12, 16, 16, 15, 6, 14, 14
RRT,3,[],15, 6, 6, 12, 11, 19, 18, 10
GDA,3,[],9, 4, 13, 7, 5, 10, 18, 18
SA,4,[],16, 12, 11, 11, 19, 18, 14, 10
RRT,4,[],16, 12, 11, 11, 19, 18, 18, 7
GDA,4,[],4, 13, 17, 7, 5, 10, 14, 18
