Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],12, 14, 17, 22, 8, 20, 21, 9
RRT,0,[],12, 14, 17, 22, 8, 20, 21, 9
GDA,0,[],12, 14, 17, 22, 8, 20, 21, 9
SA,1,[],12, 14, 17, 22, 8, 20, 21, 9
RRT,1,[],12, 14, 17, 22, 8, 20, 21, 9
GDA,1,[],12, 14, 17, 22, 8, 20, 21, 9
SA,2,[],12, 14, 17, 22, 8, 20, 21, 9
RRT,2,[],12, 14, 17, 22, 8, 20, 21, 9
GDA,2,[],12, 14, 17, 22, 8, 20, 21, 9
SA,3,[],12, 14, 17, 22, 8, 20, 21, 9
RRT,3,[],12, 14, 17, 22, 8, 20, 21, 9
GDA,3,[],12, 14, 17, 22, 8, 20, 21, 9
SA,4,[],12, 14, 17, 22, 8, 20, 21, 9
RRT,4,[],12, 14, 17, 22, 8, 20, 21, 9
GDA,4,[],12, 14, 17, 22, 8, 20, 21, 9
