Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],10, 6, 7, 11, 11, 4, 4, 5
RRT,0,[],8, 6, 10, 7, 5, 5, 11, 1
GDA,0,[],11, 7, 10, 8, 6, 9, 4, 5
SA,1,[],10, 10, 10, 10, 6, 7, 7, 11
RRT,1,[],10, 6, 7, 5, 5, 9, 9, 4
GDA,1,[],11, 7, 10, 8, 6, 9, 4, 5
SA,2,[],7, 7, 7, 7, 7, 10, 10, 10
RRT,2,[],10, 6, 6, 6, 7, 11, 4, 5
GDA,2,[],11, 7, 10, 8, 6, 9, 4, 5
SA,3,[],11, 4, 4, 4, 4, 4, 4, 1
RRT,3,[],10, 10, 10, 6, 7, 11, 11, 4
GDA,3,[],11, 7, 10, 8, 6, 9, 4, 5
SA,4,[],10, 7, 7, 7, 5, 5, 9, 4
RRT,4,[],8, 8, 2, 6, 10, 7, 5, 11
GDA,4,[],11, 7, 10, 8, 6, 9, 4, 5
