Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],7, 7, 7, 7, 1, 5, 2, 6
RRT,0,[],5, 6, 6, 6, 2, 2, 2, 4
GDA,0,[],7, 7, 1, 1, 1, 5, 2, 6
SA,1,[],7, 7, 4, 5, 5, 6, 2, 2
RRT,1,[],4, 1, 1, 1, 1, 1, 5, 2
GDA,1,[],7, 4, 1, 1, 1, 5, 2, 6
SA,2,[],4, 5, 5, 5, 5, 2, 2, 6
RRT,2,[],5, 5, 6, 6, 6, 2, 2, 4
GDA,2,[],7, 7, 7, 4, 0, 0, 0, 0
SA,3,[],7, 7, 7, 1, 1, 5, 2, 6
RRT,3,[],7, 0, 0, 0, 0, 0, 0, 0
GDA,3,[],6, 6, 6, 5, 2, 6, 2, 4
SA,4,[],4, 1, 1, 1, 1, 5, 2, 6
RRT,4,[],4, 4, 5, 5, 2, 2, 2, 6
GDA,4,[],5, 5, 5, 2, 6, 2, 2, 1
