Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],3, 2, 9, 4, 15, 17, 7, 11
RRT,0,[],15, 4, 11, 7, 17, 8, 10, 5
GDA,0,[],10, 8, 17, 7, 11, 15, 4, 2
SA,1,[],10, 8, 11, 7, 17, 15, 4, 9
RRT,1,[],16, 6, 5, 10, 8, 11, 17, 7
GDA,1,[],4, 7, 11, 17, 8, 15, 9, 10
SA,2,[],12, 16, 6, 5, 10, 10, 8, 11
RRT,2,[],11, 4, 7, 17, 15, 8, 10, 14
GDA,2,[],3, 2, 14, 13, 12, 16, 6, 5
SA,3,[],3, 2, 9, 4, 15, 17, 7, 11
RRT,3,[],11, 11, 11, 7, 17, 8, 15, 4
GDA,3,[],12, 16, 16, 6, 5, 13, 14, 3
SA,4,[],12, 16, 6, 5, 10, 8, 11, 7
RRT,4,[],6, 6, 5, 10, 8, 7, 17, 11
GDA,4,[],2, 9, 4, 15, 7, 11, 17, 8
