Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],5, 3, 3, 3, 3, 1, 4, 0
RRT,0,[],5, 3, 1, 1, 1, 4, 0, 2]
GDA,0,[],5, 5, 5, 3, 1, 4, 0, 2]
SA,1,[],5, 3, 3, 3, 3, 1, 4, 0
RRT,1,[],5, 5, 5, 5, 3, 1, 4, 0
GDA,1,[],5, 5, 3, 1, 1, 4, 0, 0
SA,2,[],5, 3, 3, 1, 1, 4, 4, 0
RRT,2,[],5, 5, 3, 3, 1, 4, 0, 2]
GDA,2,[],5, 5, 5, 3, 1, 4, 0, 2]
SA,3,[],5, 3, 1, 1, 1, 4, 0, 2]
RRT,3,[],5, 5, 5, 3, 1, 4, 0, 2]
GDA,3,[],5, 3, 3, 1, 1, 4, 0, 2]
SA,4,[],5, 3, 3, 1, 1, 4, 0, 2]
RRT,4,[],5, 3, 1, 1, 1, 4, 0, 2]
GDA,4,[],5, 5, 3, 3, 1, 4, 0, 2]
