Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],8, 11, 10, 13, 9, 14, 15, 12
RRT,0,[],8, 11, 10, 13, 9, 14, 15, 12
GDA,0,[],8, 11, 10, 13, 9, 14, 15, 12
SA,1,[],8, 11, 10, 13, 9, 14, 15, 12
RRT,1,[],8, 11, 10, 13, 9, 14, 15, 12
GDA,1,[],8, 11, 10, 13, 9, 14, 15, 12
SA,2,[],8, 11, 10, 13, 9, 14, 15, 12
RRT,2,[],8, 11, 10, 13, 9, 14, 15, 12
GDA,2,[],8, 11, 10, 13, 9, 14, 15, 12
SA,3,[],8, 11, 10, 13, 9, 14, 15, 12
RRT,3,[],8, 11, 10, 13, 9, 14, 15, 12
GDA,3,[],8, 11, 10, 13, 9, 14, 15, 12
SA,4,[],8, 11, 10, 13, 9, 14, 15, 12
RRT,4,[],8, 11, 10, 13, 9, 14, 15, 12
GDA,4,[],8, 11, 10, 13, 9, 14, 15, 12
