Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],6, 1, 1, 1, 1, 1, 7, 7
RRT,0,[],4, 3, 3, 3, 3, 3, 0, 5
GDA,0,[],5, 6, 7, 4, 3, 1, 2, 0]
SA,1,[],7, 4, 4, 3, 3, 3, 0, 5
RRT,1,[],6, 6, 6, 6, 1, 1, 7, 5
GDA,1,[],5, 6, 7, 4, 3, 1, 2, 0]
SA,2,[],3, 3, 3, 3, 3, 4, 0, 5
RRT,2,[],7, 7, 7, 4, 3, 3, 0, 5
GDA,2,[],5, 6, 7, 4, 3, 1, 2, 0]
SA,3,[],6, 1, 1, 1, 1, 1, 7, 4
RRT,3,[],7, 1, 1, 1, 1, 1, 6, 5
GDA,3,[],5, 6, 7, 4, 3, 1, 2, 0]
SA,4,[],5, 5, 5, 5, 5, 6, 1, 7
RRT,4,[],4, 4, 3, 3, 3, 7, 1, 6
GDA,4,[],5, 6, 7, 4, 3, 1, 2, 0]
