Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],26, 30, 21, 11, 5, 35, 6, 28
RRT,0,[],32, 28, 6, 35, 11, 34, 5, 5
GDA,0,[],18, 7, 16, 15, 8, 26, 21, 35
SA,1,[],29, 14, 14, 33, 31, 18, 28, 28
RRT,1,[],25, 13, 19, 22, 15, 20, 4, 8
GDA,1,[],18, 7, 16, 15, 8, 26, 21, 35
SA,2,[],8, 30, 26, 21, 11, 5, 5, 35
RRT,2,[],31, 33, 14, 29, 32, 7, 4, 19
GDA,2,[],18, 7, 16, 15, 8, 26, 21, 35
SA,3,[],13, 27, 16, 7, 29, 14, 33, 31
RRT,3,[],13, 16, 19, 12, 9, 9, 0, 4
GDA,3,[],18, 7, 16, 15, 8, 26, 21, 35
SA,4,[],31, 33, 14, 29, 7, 16, 16, 13
RRT,4,[],33, 33, 11, 35, 21, 26, 30, 8
GDA,4,[],18, 7, 16, 15, 8, 26, 21, 35
