Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],13, 8, 11, 11, 5, 10, 15, 12
RRT,0,[],13, 13, 8, 4, 9, 6, 16, 7
GDA,0,[],12, 11, 5, 10, 10, 8, 13, 4
SA,1,[],16, 7, 10, 5, 13, 8, 11, 15
RRT,1,[],15, 11, 13, 8, 5, 10, 7, 16
GDA,1,[],2, 3, 4, 9, 6, 17, 14, 12
SA,2,[],16, 7, 10, 5, 15, 17, 14, 12
RRT,2,[],8, 13, 11, 15, 10, 10, 5, 17
GDA,2,[],7, 16, 10, 10, 14, 17, 12, 15
SA,3,[],13, 8, 8, 11, 12, 17, 9, 6
RRT,3,[],4, 4, 8, 13, 10, 16, 7, 5
GDA,3,[],7, 16, 10, 5, 17, 12, 15, 11
SA,4,[],10, 5, 15, 17, 12, 11, 11, 13
RRT,4,[],6, 9, 4, 8, 13, 11, 15, 17
GDA,4,[],7, 16, 10, 5, 11, 15, 17, 14
