Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],29, 5, 25, 15, 16, 14, 28, 32
RRT,0,[],5, 29, 23, 18, 10, 12, 28, 32
GDA,0,[],24, 27, 9, 4, 19, 3, 13, 18
SA,1,[],15, 25, 25, 25, 5, 29, 26, 8
RRT,1,[],20, 2, 19, 10, 31, 15, 25, 5
GDA,1,[],29, 5, 25, 6, 17, 33, 28, 14
SA,2,[],28, 14, 16, 32, 17, 33, 6, 9
RRT,2,[],25, 5, 29, 23, 15, 14, 16, 17
GDA,2,[],29, 15, 25, 5, 23, 7, 10, 18
SA,3,[],16, 14, 32, 28, 33, 17, 6, 9
RRT,3,[],32, 16, 14, 28, 27, 4, 9, 24
GDA,3,[],31, 19, 13, 13, 3, 24, 4, 12
SA,4,[],27, 9, 24, 4, 19, 6, 33, 28
RRT,4,[],18, 11, 12, 10, 17, 32, 14, 23
GDA,4,[],32, 16, 14, 28, 33, 17, 31, 18
