Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],5, 3, 2, 2, 9, 0, 0, 0
RRT,0,[],5, 3, 2, 9, 9, 0, 0, 4
GDA,0,[],5, 3, 6, 6, 6, 2, 9, 0
SA,1,[],7, 5, 3, 6, 8, 4, 0, 9
RRT,1,[],2, 9, 9, 4, 8, 4, 0, 6
GDA,1,[],7, 7, 5, 3, 6, 8, 4, 0
SA,2,[],2, 2, 2, 2, 9, 0, 0, 4
RRT,2,[],2, 9, 9, 0, 0, 0, 0, 8
GDA,2,[],2, 2, 9, 4, 8, 6, 6, 3
SA,3,[],5, 5, 5, 3, 2, 9, 0, 4
RRT,3,[],5, 5, 3, 3, 3, 9, 2, 0
GDA,3,[],3, 2, 9, 9, 0, 0, 0, 4
SA,4,[],2, 2, 2, 2, 2, 9, 0, 4
RRT,4,[],5, 3, 2, 2, 9, 0, 0, 4
GDA,4,[],9, 2, 2, 4, 8, 6, 6, 6
