Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],5, 9, 7, 4, 6, 2, 2, 3
RRT,0,[],3, 2, 9, 5, 7, 4, 6, 8
GDA,0,[],3, 2, 2, 9, 5, 7, 7, 4
SA,1,[],3, 2, 2, 6, 6, 8, 4, 7
RRT,1,[],3, 2, 2, 9, 5, 7, 4, 6
GDA,1,[],3, 2, 6, 8, 4, 7, 9, 9
SA,2,[],3, 2, 9, 5, 5, 7, 4, 6
RRT,2,[],3, 2, 9, 5, 7, 4, 6, 8
GDA,2,[],3, 2, 9, 5, 7, 4, 6, 8
SA,3,[],5, 5, 9, 7, 4, 8, 0, 0
RRT,3,[],3, 2, 6, 8, 4, 7, 9, 5
GDA,3,[],3, 2, 6, 8, 4, 4, 7, 9
SA,4,[],3, 2, 9, 5, 7, 4, 6, 8
RRT,4,[],3, 2, 2, 6, 8, 4, 7, 9
GDA,4,[],3, 2, 9, 5, 7, 4, 6, 8
