Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],34, 25, 23, 23, 29, 14, 22, 20
RRT,0,[],28, 21, 33, 31, 15, 34, 34, 23
GDA,0,[],34, 7, 12, 23, 33, 26, 22, 16
SA,1,[],5, 5, 18, 33, 27, 4, 14, 14
RRT,1,[],32, 22, 7, 16, 20, 29, 34, 25
GDA,1,[],22, 20, 32, 7, 16, 14, 24, 13
SA,2,[],32, 32, 7, 22, 16, 20, 23, 34
RRT,2,[],18, 33, 27, 31, 10, 5, 4, 14
GDA,2,[],34, 7, 12, 23, 33, 26, 22, 16
SA,3,[],8, 8, 19, 26, 6, 28, 21, 13
RRT,3,[],23, 23, 16, 20, 22, 32, 14, 27
GDA,3,[],17, 9, 10, 18, 15, 31, 33, 27
SA,4,[],21, 24, 12, 5, 18, 18, 18, 33
RRT,4,[],31, 33, 27, 5, 4, 14, 16, 20
GDA,4,[],15, 25, 25, 34, 26, 28, 6, 13
