Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],11, 24, 28, 16, 10, 32, 30, 19
RRT,0,[],17, 23, 8, 26, 2, 29, 7, 12
GDA,0,[],33, 21, 26, 28, 16, 20, 8, 15
SA,1,[],32, 30, 19, 11, 24, 28, 16, 10
RRT,1,[],8, 7, 2, 2, 29, 27, 4, 5
GDA,1,[],33, 21, 26, 28, 16, 20, 8, 15
SA,2,[],8, 26, 2, 2, 2, 7, 29, 27
RRT,2,[],11, 24, 19, 28, 32, 32, 16, 33
GDA,2,[],33, 21, 26, 28, 16, 20, 8, 15
SA,3,[],8, 26, 2, 7, 7, 29, 27, 4
RRT,3,[],9, 30, 19, 11, 24, 28, 14, 10
GDA,3,[],8, 26, 2, 7, 29, 5, 27, 4
SA,4,[],11, 24, 28, 32, 30, 19, 9, 21
RRT,4,[],4, 3, 15, 24, 24, 11, 19, 30
GDA,4,[],33, 21, 26, 28, 16, 20, 8, 15
