Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],13, 23, 21, 11, 15, 22, 16, 14
RRT,0,[],13, 23, 21, 11, 15, 22, 16, 14
GDA,0,[],13, 23, 21, 11, 15, 22, 16, 14
SA,1,[],13, 23, 21, 11, 15, 22, 16, 14
RRT,1,[],13, 23, 21, 11, 15, 22, 16, 14
GDA,1,[],13, 23, 21, 11, 15, 22, 16, 14
SA,2,[],13, 23, 21, 11, 15, 22, 16, 14
RRT,2,[],13, 23, 21, 11, 15, 22, 16, 14
GDA,2,[],13, 23, 21, 11, 15, 22, 16, 14
SA,3,[],13, 23, 21, 11, 15, 22, 16, 14
RRT,3,[],13, 23, 21, 11, 15, 22, 16, 14
GDA,3,[],13, 23, 21, 11, 15, 22, 16, 14
SA,4,[],13, 23, 21, 11, 15, 22, 16, 14
RRT,4,[],13, 23, 21, 11, 15, 22, 16, 14
GDA,4,[],13, 23, 21, 11, 15, 22, 16, 14
