Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],3, 2, 4, 1, 1, 1, 0, 5]
RRT,0,[],3, 3, 2, 4, 1, 1, 1, 0
GDA,0,[],5, 3, 2, 4, 1, 0],10.930106595800748,14
SA,1,[],3, 2, 4, 4, 4, 4, 1, 0
RRT,1,[],3, 2, 4, 1, 1, 1, 0, 5]
GDA,1,[],5, 3, 2, 4, 1, 0],10.930106595800748,14
SA,2,[],3, 3, 2, 4, 1, 1, 0, 5]
RRT,2,[],3, 2, 2, 4, 1, 0, 5],9.56062329783655
GDA,2,[],5, 3, 2, 4, 1, 0],10.930106595800748,14
SA,3,[],3, 3, 3, 2, 4, 1, 0, 5]
RRT,3,[],3, 2, 4, 1, 1, 0, 5],9.56062329783655
GDA,3,[],5, 3, 2, 1, 1, 4, 0],10.76782893563237
SA,4,[],3, 3, 3, 2, 4, 1, 0, 0
RRT,4,[],3, 2, 4, 1, 1, 1, 1, 1
GDA,4,[],5, 3, 2, 4, 1, 0],10.930106595800748,14
