Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],4, 9, 9, 9, 9, 10, 1, 1
RRT,0,[],8, 4, 9, 9, 9, 10, 1, 11
GDA,0,[],11, 9, 10, 4, 8, 8, 8, 8
SA,1,[],4, 4, 10, 9, 9, 9, 9, 9
RRT,1,[],5, 6, 6, 11, 9, 10, 1, 4
GDA,1,[],5, 5, 6, 11, 9, 10, 1, 4
SA,2,[],5, 6, 6, 11, 9, 10, 1, 1
RRT,2,[],10, 4, 9, 1, 1, 1, 1, 11
GDA,2,[],5, 6, 6, 11, 9, 10, 1, 4
SA,3,[],10, 10, 9, 6, 5, 5, 5, 7
RRT,3,[],5, 6, 11, 9, 10, 1, 1, 4
GDA,3,[],5, 6, 9, 11, 2, 2, 1, 10
SA,4,[],10, 10, 9, 6, 5, 5, 7, 3
RRT,4,[],5, 5, 6, 11, 9, 10, 1, 4
GDA,4,[],8, 9, 9, 9, 11, 6, 5, 5
