Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],9, 10, 24, 6, 18, 5, 31, 22
RRT,0,[],7, 16, 14, 32, 21, 13, 28, 8
GDA,0,[],11, 21, 13, 32, 21, 21, 22, 33
SA,1,[],24, 10, 9, 7, 16, 4, 26, 23
RRT,1,[],16, 4, 7, 26, 6, 23, 12, 27
GDA,1,[],11, 25, 9, 28, 21, 33, 13, 32
SA,2,[],11, 25, 8, 28, 32, 13, 21, 33
RRT,2,[],2, 14, 20, 19, 30, 29, 28, 15
GDA,2,[],10, 9, 33, 31, 22, 5, 18, 3
SA,3,[],26, 4, 16, 7, 14, 2, 2, 20
RRT,3,[],30, 17, 2, 19, 8, 25, 11, 21
GDA,3,[],12, 23, 23, 27, 24, 18, 6, 3
SA,4,[],33, 22, 31, 5, 9, 25, 8, 11
RRT,4,[],20, 2, 19, 17, 17, 8, 25, 30
GDA,4,[],26, 4, 23, 12, 25, 10, 24, 6
