Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],5, 5, 5, 3, 4, 1, 2, 0]
RRT,0,[],5, 3, 4, 1, 1, 1, 2, 0]
GDA,0,[],3, 2, 5, 4, 1, 0],13.233356769717778,18
SA,1,[],5, 5, 3, 4, 4, 1, 2, 0]
RRT,1,[],5, 3, 4, 4, 1, 1, 2, 2
GDA,1,[],3, 2, 5, 4, 1, 0],13.233356769717778,18
SA,2,[],5, 3, 3, 4, 1, 1, 2, 0]
RRT,2,[],5, 3, 3, 3, 4, 4, 1, 2
GDA,2,[],3, 2, 5, 4, 1, 0],13.233356769717778,18
SA,3,[],5, 3, 4, 1, 1, 1, 1, 2
RRT,3,[],5, 5, 3, 3, 4, 1, 2, 0]
GDA,3,[],5, 3, 4, 1, 1, 1, 2, 0]
SA,4,[],5, 3, 4, 4, 4, 4, 1, 2
RRT,4,[],5, 3, 4, 4, 4, 1, 2, 0]
GDA,4,[],3, 2, 5, 4, 1, 0],13.233356769717778,18
