Method,Run,BestSol,EuclideanCost,ManhattanCost,alpha,finalTemp,initialTemp,rainSpeed,tolerance,waterFinalLevel
SA,0,[],30, 22, 4, 13, 19, 12, 23, 8
RRT,0,[],22, 30, 35, 17, 29, 34, 34, 25
GDA,0,[],18, 17, 33, 10, 31, 30, 4, 5
SA,1,[],29, 11, 32, 35, 17, 14, 18, 24
RRT,1,[],7, 20, 26, 20, 6, 33, 15, 9
GDA,1,[],28, 28, 8, 12, 22, 4, 19, 13
SA,2,[],25, 25, 31, 30, 22, 4, 13, 19
RRT,2,[],18, 10, 24, 15, 26, 20, 16, 7
GDA,2,[],4, 19, 13, 13, 28, 8, 16, 20
SA,3,[],14, 18, 24, 10, 5, 9, 33, 6
RRT,3,[],12, 19, 13, 4, 22, 30, 25, 33
GDA,3,[],4, 13, 13, 12, 19, 23, 28, 8
SA,4,[],31, 25, 26, 20, 27, 16, 7, 7
RRT,4,[],27, 21, 7, 28, 8, 23, 23, 4
GDA,4,[],32, 11, 30, 22, 4, 12, 19, 13
