config,instance_file,count,best,median,avg,std,interquartile_range,outliers,avg_time
input/prob-software-85-100-812-12180.txt | Gamma:0.80 | ,prob-software-85-100-812-12180.txt,45,11575.0,9933.0,8286.822222222223,3848.071478551354,8675.5,0,44.86542673110962
input/prob-software-85-100-812-12180.txt | Gamma:0.90 | ,prob-software-85-100-812-12180.txt,80,11714.0,10796.0,8723.6875,3855.1680276429925,8289.0,0,49.30685253143311
input/sukp03_100_100_0.10_0.75.txt | Gamma:0.80 | ,sukp03_100_100_0.10_0.75.txt,516,13803.0,12638.0,12787.753875968992,825.66568582098,1295.0,16,8.828170707059462
input/sukp03_100_100_0.10_0.75.txt | Gamma:0.90 | ,sukp03_100_100_0.10_0.75.txt,668,13615.0,12646.0,12408.115269461077,797.0968501331134,962.0,0,9.904447838217912
input/sukp06_200_200_0.10_0.75.txt | Gamma:0.80 | ,sukp06_200_200_0.10_0.75.txt,516,9514.0,8822.0,8280.602713178294,1003.228843165713,1484.0,0,31.251030615133832
input/sukp06_200_200_0.10_0.75.txt | Gamma:0.90 | ,sukp06_200_200_0.10_0.75.txt,668,10104.0,7438.0,7290.152694610779,1617.649853989629,1597.0,39,31.28143013380245
input/sukp12_400_400_0.10_0.75.txt | Gamma:0.90 | ,sukp12_400_400_0.10_0.75.txt,14,244.0,0.0,17.428571428571427,65.21174302663155,0.0,0,55.23934829235077
input/sukp18_100_100_0.15_0.85.txt | Gamma:0.80 | ,sukp18_100_100_0.15_0.85.txt,516,13498.0,12128.0,12059.521317829458,783.1923826765246,1232.0,0,8.683480613915496
input/sukp18_100_100_0.15_0.85.txt | Gamma:0.90 | ,sukp18_100_100_0.15_0.85.txt,664,13280.0,12176.0,12185.19126506024,556.3512496484805,743.0,0,8.778601442115853
input/sukp24_300_300_0.15_0.85.txt | Gamma:0.90 | ,sukp24_300_300_0.15_0.85.txt,9,84.0,0.0,9.333333333333334,28.0,0.0,0,57.47370847066244
input/sukp29_500_485_0.15_0.85.txt | Gamma:0.90 | ,sukp29_500_485_0.15_0.85.txt,9,0.0,0.0,0.0,0.0,0.0,0,70.07246565818787

