instance_file,run_id,method_inferred,benefit,time,_source_file,Solution,alpha,beta,biggest_first,capacity_remaining,capacity_used,crossover_points,elite_number,evaluations,final_temp,first_solution,gamma,generations,ils_max_tries,improvement,improvement_pct,initial_benefit,initial_method,initial_sol,initial_sol_neighborhood,initial_temp,ls_max_tries,ls_method,method,mutation_rate,mutations_per_gene,neighborhood_names,neighborhoods,parameters,params,parent_selection,parents_per_generation,parents_survive,perturbation,refinement_heuristics,run_finding_initial_temp,run_seed,seed,solution,start_time,starting_find_temp,timestamp,two_offsprings
input/prob-software-85-100-812-12180.txt,simulated_annealing_43,<unknown>,11714,9.788463354110718,simulated_annealing.csv,,0.95,1.125,,,12155,,,20000, ,random,0.9,,,,,,,,,1000.0,,,,,,,,,,,,,,,True,6,,1227107813420921153383150124031,1760382515.9117043,1000.0,2025-10-13T16:08:45.700198,
input/prob-software-85-100-812-12180.txt,constructive_1544,create_dep_size_greedy_solution,5648,6.175041198730469e-05,constructive.csv,,,,,,12065,,,1,,,,,,,,,,,,,,,create_dep_size_greedy_solution,,,,,,biggest_first=False,,,,,,,,,,,,2025-10-15T21:26:26.062961,
input/prob-software-85-100-812-12180.txt,constructive_4,create_num_pack_greedy_solution,6699,0.0002622604370117,constructive.csv,,,,,,12160,,,1,,,,,,,,,,,,,,,create_num_pack_greedy_solution,,,,,,default,,,,,,,,,,,,2025-10-05T02:16:20.943942,
input/prob-software-85-100-812-12180.txt,constructive_3,create_pack_benefit_greedy_solution,9515,0.0003859996795654,constructive.csv,,,,,,12105,,,1,,,,,,,,,,,,,,,create_pack_benefit_greedy_solution,,,,,,default,,,,,,,,,,,,2025-10-05T02:16:20.942045,
input/prob-software-85-100-812-12180.txt,constructive_1604,create_randomic_solution,4824,9.226799011230467e-05,constructive.csv,,,,,,12152,,,1,,,,,,,,,,,,,,,create_randomic_solution,,,,,,biggest_first=False,,,,,,,,25.0,,,,2025-10-15T21:26:26.168604,
input/prob-software-85-100-812-12180.txt,constructive_1692,create_randomized_dep_size_greedy_solution,4821,0.0002541542053222,constructive.csv,,,,,,12168,,,1,,,,,,,,,,,,,,,create_randomized_dep_size_greedy_solution,,,,,,biggest_first=True,,,,,,,,23.0,,,,2025-10-15T21:26:26.363057,
input/prob-software-85-100-812-12180.txt,constructive_1794,create_randomized_num_pack_greedy_solution,6107,0.0004642009735107,constructive.csv,,,,,,12176,,,1,,,,,,,,,,,,,,,create_randomized_num_pack_greedy_solution,,,,,,biggest_first=True,,,,,,,,5.0,,,,2025-10-15T21:26:26.581334,
input/prob-software-85-100-812-12180.txt,constructive_1774,create_randomized_pack_benefit_greedy_solution,9661,0.0005884170532226,constructive.csv,,,,,,12167,,,1,,,,,,,,,,,,,,,create_randomized_pack_benefit_greedy_solution,,,,,,biggest_first=False,,,,,,,,15.0,,,,2025-10-15T21:26:26.536120,
input/prob-software-85-100-812-12180.txt,constructive_1633,create_randomized_ratio_greedy_solution,5409,0.0006296634674072,constructive.csv,,,,,,12175,,,1,,,,,,,,,,,,,,,create_randomized_ratio_greedy_solution,,,,,,biggest_first=True,,,,,,,,24.0,,,,2025-10-15T21:26:26.231580,
input/prob-software-85-100-812-12180.txt,constructive_1,create_ratio_greedy_solution,8107,0.0005710124969482,constructive.csv,,,,,,12122,,,1,,,,,,,,,,,,,,,create_ratio_greedy_solution,,,,,,default,,,,,,,,,,,,2025-10-05T02:16:20.937475,
input/prob-software-85-100-812-12180.txt,local_search_21,hill_climbing,10952,2.715195417404175,local_search.csv,,,,,9,,,,1904,,,,,,2845,35.09312939435056,8107,create_ratio_greedy_solution,,,,,hill_climbing,,,,,"['flip_bit', 'swap_bits']",,,,,,,['random_best_step'],,,20,,,,2025-10-05T14:54:25.045518,
input/prob-software-85-100-812-12180.txt,local_search_76,variable_neighborhood_descent,11490,23.291025400161743,local_search.csv,,,,,11,,,,16221,,,,,,3383,41.72936968052301,8107,create_ratio_greedy_solution,,,,,variable_neighborhood_descent,,,,,"['flip_bit', 'swap_bits']",,,,,,,"['random_best_step', 'first_best_step']",,,15,,,,2025-10-05T15:00:40.446902,
input/sukp02_100_85_0.10_0.75.txt,simulated_annealing_250,<unknown>,13082,6.793663263320923,simulated_annealing.csv,,0.999,1.5,,,11984,,,10001,0.045173345977048314,random,0.9,,,,,,,,,1000,,,,,,,,,,,,,,,False,4,,38232241861191956890123770,1760709749.8430746,1000,2025-10-17T11:02:36.636772,
input/sukp02_100_85_0.10_0.75.txt,iterated_local_search_16,['variable_neighborhood_descent'],11658,4.974829912185669,iterated_local_search.csv,,,,,,14435,,,1047,,create_dep_size_greedy_solution,,,1000,,,,,,,,1000,['variable_neighborhood_descent'],,,,[],,biggest_first:False,,,,,[],[],,16,,33802699284345461122525165,1763241536.1525178,,2025-11-15T18:19:01.127402,
input/sukp02_100_85_0.10_0.75.txt,constructive_2776,create_dep_size_greedy_solution,7207,3.0994415283203125e-05,constructive.csv,,,,,,11996,,,1,,,,,,,,,,,,,,,create_dep_size_greedy_solution,,,,,,biggest_first=False,,,,,,,,,,,,2025-10-17T10:57:27.224895,
input/sukp02_100_85_0.10_0.75.txt,constructive_7399,create_num_pack_greedy_solution,9343,0.0001633167266845703,constructive.csv,,,,,,11979,,,1,,,,,,,,,,,,,,,create_num_pack_greedy_solution,,,,,,biggest_first=True,,,,,,,,38380949062578186730470906,,,,2025-10-17T12:31:43.045346,
