run_id,instance_file,run_seed,solution,benefit,initial_sol,initial_sol_neighborhood,generations,elite_number,parents_per_generation,parents_survive,parent_selection,two_offsprings,crossover_points,mutation_rate,mutations_per_gene,start_time,time,evaluations,capacity_used,timestamp,_source_file
genetic_algorithm_34,input/prob-software-85-100-812-12180.txt,7,1266103094751227154158545009631,8943,1208982633815190880559889824767,[],20,1,100,True,tournament,True,[],0.01,1,1760322168.7018557,7.084827184677124,4200,12154,2025-10-12T23:22:55.786806,genetic_algorithm.csv
genetic_algorithm_42,input/sukp03_100_100_0.10_0.75.txt,5,861606260258966859805311106919,10680,861489605558285231493332399003,[],20,1,100,True,tournament,True,[],0.01,1,1760322894.808534,9.165030479431152,4200,11246,2025-10-12T23:35:03.973751,genetic_algorithm.csv
genetic_algorithm_70,input/sukp06_200_200_0.10_0.75.txt,8,1571825123220941364773700785332187995494782949203448380194795,4209,1575098286620608938415155078342785730497901465979593344614379,[],20,0,100,False,tournament,True,[],0.1,10,1760327570.2238827,29.458572387695312,4200,25553,2025-10-13T00:53:19.682762,genetic_algorithm.csv
genetic_algorithm_44,input/sukp12_400_400_0.10_0.75.txt,4,2419440324861595917751869628090595345827263219467118031046850763583403612669841245555924207695864845252931405904030199551,513,2419440324861595917751871758926900650962742919789727635295426322715058073952293435464255529973843834695637841134135013119,[],20,1,100,True,tournament,True,[],0.01,1,1760322933.7464714,114.33959293365479,4200,49362,2025-10-12T23:37:28.086454,genetic_algorithm.csv
genetic_algorithm_45,input/sukp18_100_100_0.15_0.85.txt,4,1089377561983982726425803227123,10869,1101378569183289650901753528191,[],20,1,100,True,tournament,True,[],0.01,1,1760323048.5954702,9.32468056678772,4200,15308,2025-10-12T23:37:37.920294,genetic_algorithm.csv
genetic_algorithm_39,input/sukp24_300_300_0.15_0.85.txt,3,2013129006923819895438178834120834807601412369734314337897878418117892400371863932888546797,1607,2013129006923818100482026411219045886570949355488401325657832494319004382441013454332099951,[],20,1,100,True,tournament,True,[],0.01,1,1760322336.5583372,67.62566184997559,4200,45687,2025-10-12T23:26:44.184289,genetic_algorithm.csv
genetic_algorithm_67,input/sukp29_500_485_0.15_0.85.txt,6,49921843545472754741553449711225209960884330517234565832279697142971673142762847974713661467678067144328272351178449119796469065196673685618949119,435,49923391653808406440581768547163933956753199477284032758759010438054368093955410543267166044302085979644215290714002466546932566539544782945909759,[],20,1,100,True,tournament,True,[],0.1,10,1760325179.1983209,175.84445714950562,4200,65774,2025-10-13T00:15:55.043211,genetic_algorithm.csv
