run_id,instance_file,run_seed,solution,benefit,first_solution,parameters,perturbation,ls_method,refinement_heuristics,neighborhood_names,ils_max_tries,ls_max_tries,start_time,time,evaluations,capacity_used,timestamp,_source_file
iterated_local_search_16,input/sukp02_100_85_0.10_0.75.txt,16,33802699284345461122525165,11658,create_dep_size_greedy_solution,biggest_first:False,[],['variable_neighborhood_descent'],[],[],1000,1000,1763241536.1525178,4.974829912185669,1047,14435,2025-11-15T18:19:01.127402,iterated_local_search.csv
iterated_local_search_72,input/sukp07_285_300_0.10_0.75.txt,18,1622252848154648481779052703966520678253594508686293007238790315653024432251702490831218685,7704,create_pack_benefit_greedy_solution,biggest_first:True,[],['variable_neighborhood_descent'],[],[],1000,1000,1763242617.3430204,17.690439224243164,1002,38832,2025-11-15T18:37:15.033566,iterated_local_search.csv
iterated_local_search_91,input/sukp28_485_500_0.15_0.85.txt,6,1994716158189610820054824706326689479814385514715636430480944514208381111314980999999017453161868748317233958085799822354976778973490971292328988213247,1033,create_ratio_greedy_solution,biggest_first:True,[],['variable_neighborhood_descent'],[],[],1000,1000,1763245212.127126,52.72108507156372,1008,74970,2025-11-15T19:21:04.848412,iterated_local_search.csv
