instance_file,method,count,best,median,avg,std,iqr,outliers,avg_time
sukp06_200_200_0.10_0.75.txt,create_ratio_greedy_solution,2,3300.0,1650.0,1650.0,2333.452377915607,0.0,0,0.0021471977233886
sukp07_285_300_0.10_0.75.txt,create_dep_size_greedy_solution,22,95.0,0.00011551380157470703,43.18182868307287,48.41647337470468,95.0,0,0.09102808345447887
sukp07_285_300_0.10_0.75.txt,create_num_pack_greedy_solution,22,33.0,0.0016158819198608398,15.00014689835635,16.818220068655485,33.0,0,0.09256018291820178
sukp07_285_300_0.10_0.75.txt,create_pack_benefit_greedy_solution,22,7704.0,424.0,3694.5456491600385,3748.1502346904213,7280.0,0,0.09293219176205722
sukp07_285_300_0.10_0.75.txt,create_randomic_solution,660,485.0,0.0,33.39395638559804,105.25290610694023,0.0,0,0.0910925117405978
sukp07_285_300_0.10_0.75.txt,create_randomized_dep_size_greedy_solution,660,808.0,0.0,27.88188542235981,108.15524661545986,0.0,0,0.09167097409566242
sukp07_285_300_0.10_0.75.txt,create_randomized_num_pack_greedy_solution,660,764.0,0.0,54.78806844407862,162.23466296844714,0.0,0,0.09309993873942982
sukp07_285_300_0.10_0.75.txt,create_randomized_pack_benefit_greedy_solution,660,6400.0,5210.0,4807.363876365532,1594.751287444379,768.0,60,0.09376226771961559
sukp07_285_300_0.10_0.75.txt,create_randomized_ratio_greedy_solution,660,375.0,0.0,34.606321083776876,96.17909506300532,0.0027724504470825195,120,0.09382863947839447
sukp07_285_300_0.10_0.75.txt,create_ratio_greedy_solution,22,1669.0,0.0025200843811035156,758.6365927349437,850.6009484507094,1669.0,0,0.09327349879524924
sukp12_400_400_0.10_0.75.txt,create_dep_size_greedy_solution,3,1032.0,0.0,344.0,595.8254778036938,1032.0,0,0.00031765302022293334
sukp12_400_400_0.10_0.75.txt,create_num_pack_greedy_solution,3,0.0,0.0,0.0,0.0,0.0,0,0.005680958429972267
sukp12_400_400_0.10_0.75.txt,create_pack_benefit_greedy_solution,3,6983.0,6983.0,5025.0,3391.3554812198618,5874.0,0,0.0074392159779866004
sukp12_400_400_0.10_0.75.txt,create_randomic_solution,90,0.0,0.0,0.0,0.0,0.0,0,0.00041423903571229445
