instance_file,run_id,benefit,time,_source_file,capacity_used,evaluations,first_solution,ils_max_tries,ls_max_tries,ls_method,neighborhood_names,parameters,perturbation,refinement_heuristics,run_seed,solution,start_time,timestamp
input/sukp02_100_85_0.10_0.75.txt,iterated_local_search_16,11658,4.974829912185669,iterated_local_search.csv,14435,1047,create_dep_size_greedy_solution,1000,1000,['variable_neighborhood_descent'],[],biggest_first:False,[],[],16,33802699284345461122525165,1763241536.1525178,2025-11-15T18:19:01.127402
input/sukp07_285_300_0.10_0.75.txt,iterated_local_search_72,7704,17.690439224243164,iterated_local_search.csv,38832,1002,create_pack_benefit_greedy_solution,1000,1000,['variable_neighborhood_descent'],[],biggest_first:True,[],[],18,1622252848154648481779052703966520678253594508686293007238790315653024432251702490831218685,1763242617.3430204,2025-11-15T18:37:15.033566
input/sukp28_485_500_0.15_0.85.txt,iterated_local_search_91,1033,52.72108507156372,iterated_local_search.csv,74970,1008,create_ratio_greedy_solution,1000,1000,['variable_neighborhood_descent'],[],biggest_first:True,[],[],6,1994716158189610820054824706326689479814385514715636430480944514208381111314980999999017453161868748317233958085799822354976778973490971292328988213247,1763245212.127126,2025-11-15T19:21:04.848412
